water_year,Location,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP
2018,PASO ROBLES,0.09,0.16,0.02,2.03,0.36,6.76,0.2,0,0,0,0,0
2019,PASO ROBLES,0.03,2.34,1.23,3.32,4.76,2.32,0.11,0.77,,,,
2017,PASO ROBLES,1.39,1.26,1.03,6.91,3.89,0.53,0.95,0.18,0,0,0,0.03
2016,PASO ROBLES,0.06,1.23,0.77,3.49,0.32,2.03,0.16,0,0,0,0,0
2015,PASO ROBLES,0.85,0.37,4.5,0.24,2.07,0.02,0.43,0.15,0.18,2.17,0,0.05
2014,PASO ROBLES,0.02,0.27,0.17,0,2.66,1.46,0.34,0,0,0,0,0
2013,PASO ROBLES,0.13,0.59,2.48,0.69,0.27,0.44,0.01,0.05,0,0,0,0
2012,PASO ROBLES,0.98,1.75,0.07,1.49,0.14,2.32,1.92,0,0,0.01,0,0
2011,PASO ROBLES,0.72,0.84,5.8,1.53,2.51,4.39,0.3,0.79,0.3,0,0,0.01
2010,PASO ROBLES,1.83,0.01,2.2,4.47,2.69,0.22,1.65,0.06,0,0.02,0,0
2009,PASO ROBLES,0.13,0.47,0.91,0.61,2.61,1.03,0.08,0.03,0,0,0,0.06
2008,PASO ROBLES,0.45,0,1.3,5.39,0.81,0,0.2,0.01,0,0,0,0
2007,PASO ROBLES,0.6,0.2,0.82,0.65,1.4,0.07,0.19,0,0,0,0.15,0
2006,PASO ROBLES,0,0.43,1.75,4.16,0.99,3.89,2.15,0.96,0,0,0,0
2005,PASO ROBLES,5.11,1.39,6.75,4.81,5.02,4.07,0.76,1.1,0.01,NA,0.08,0.01
2004,PASO ROBLES,0,1.36,2.31,0.91,4.34,0.3,0.32,0,0,0,0,0
2003,PASO ROBLES,0,2.54,4.52,0.13,2.1,1.85,1.7,1.18,0,0.16,0.03,0
2002,PASO ROBLES,0.24,2.81,2.19,1.02,0.33,1.4,0.23,0.25,0,0,0,0
2018,SAN LUIS OBISPO,0.01,0.49,0.17,3.55,0.15,9.12,0.56,0.01,0,0,0,0
2019,SAN LUIS OBISPO,0.7,5.03,1.2,7.02,7.31,6.01,0.22,1.89,,,,
2017,SAN LUIS OBISPO,2.85,2.1,4.17,10.49,11,2.71,2.29,0.45,0,0,0.04,0.24
2016,SAN LUIS OBISPO,0.13,1.78,2.5,6.85,0.67,5.84,0.25,0,0,0,0,0
2015,SAN LUIS OBISPO,0,1.51,5.89,0.12,2.31,0.02,1.49,0.18,0,1.37,0,0.05
2014,SAN LUIS OBISPO,0.44,0.28,0.27,0.03,5.83,2.57,1.08,0,0,0,0,0
2013,SAN LUIS OBISPO,1.35,2.65,NA,1.35,0.89,0.68,0.06,0.31,0.01,0.03,0,0.02
2012,SAN LUIS OBISPO,1.06,3.2,0.18,3.27,0.73,2.95,3.69,0,0,0.01,0.03,0
2011,SAN LUIS OBISPO,1.7,1.85,9.66,2.56,3.7,7.97,0.28,1.12,1.34,0.03,0,0.01
2010,SAN LUIS OBISPO,6.14,0,3.4,6.11,4.45,1.32,2.41,0.16,0,0.04,0,0
2009,SAN LUIS OBISPO,0.33,1.51,1.9,0.91,5.83,1.35,0.49,0.22,0.4,0,0,0
2008,SAN LUIS OBISPO,0.57,0.06,2.92,7.36,2.75,0.14,0.29,0.03,0,0,0.07,0
2007,SAN LUIS OBISPO,0.05,0.45,NA,1.39,3.39,0.44,0.9,0,0,0,0.13,0
2006,SAN LUIS OBISPO,0.01,1.18,0.83,5.62,1.54,3.06,2.88,1.33,0,NA,0,0
2005,SAN LUIS OBISPO,5.21,2.26,8.25,9.45,6.64,4.75,2.1,1.37,0.01,0,0,0.05
2004,SAN LUIS OBISPO,0.03,2.71,3.25,1.13,8.29,0.61,0,0,0,0,0,0
2003,SAN LUIS OBISPO,0,4.42,8.07,0.38,3.16,3.51,1.93,1.39,0,0.03,0.03,0
2002,SAN LUIS OBISPO,0.49,5.96,4.18,1.13,0.84,1.83,1.33,0.18,0,0,0,0.05
2018,SANTA BARBARA,0,0.07,0,2.72,0.01,5.5,0,0,0,0,0,0
2019,SANTA BARBARA,0.42,2.63,0.5,7.36,5.27,3.77,0.09,1.88,,,,
2017,SANTA BARBARA,0.73,0.89,3.19,8.96,8.97,0.96,0.41,0.12,0,0.04,0.01,0.22
2016,SANTA BARBARA,0.48,0.1,0.3,5.79,0.47,2.51,0.54,0.01,0.01,0,0,0.01
2015,SANTA BARBARA,1.16,0.18,4.95,1.33,0.9,0.3,0.18,0.32,0.3,0.01,0,0.17
2014,SANTA BARBARA,0.39,0.74,0.16,0.01,3.83,1.09,0.27,0,0,0.01,0.01,0
2013,SANTA BARBARA,0.04,1.93,4,2.04,0.18,1.06,0.03,0.01,0.03,0.07,0,0
2012,SANTA BARBARA,0.85,3.03,1.09,2.09,0.08,2.28,2.24,0,0.01,0,0.02,0.08
2011,SANTA BARBARA,2.61,1.1,10.36,1.2,3.81,7.52,0.03,0.55,1.45,0,0,0
2010,SANTA BARBARA,3.63,0,3.44,6.01,4.56,0.65,2.35,0.15,0.01,0.01,0,0
2009,SANTA BARBARA,0.05,1.81,2.12,0.63,3.77,0.69,0.54,0,0.51,0,0,0
2008,SANTA BARBARA,0.31,0,2.16,10.44,1.99,0.01,0.11,0.1,0,0,0,0
2007,SANTA BARBARA,0.15,0.27,0.98,2.57,2.02,0.03,1.11,0,0,0,0,0.21
2006,SANTA BARBARA,1.19,1.63,2.38,2.21,3.86,3.86,4.86,1.13,0,0,0.02,0
2005,SANTA BARBARA,3.91,0.18,7.45,12.06,7.31,3.96,0.9,0.9,0,0,0,0.09
2004,SANTA BARBARA,0.96,0.87,2.35,0.48,4.95,0.59,0,0,0.02,0,0.01,0
2003,SANTA BARBARA,0.03,6.82,6.15,0,3.17,4.8,1.16,1.92,0.13,0.02,0,0
2002,SANTA BARBARA,0.62,4.24,0.09,1.03,0.46,0.4,0.08,0.1,0.03,0,0,0.18
